iter	Passed	Remaining
1118	47210	37169
1119	47244	37120
1120	47276	37070
1121	47312	37023
1122	47346	36974
1123	47383	36928
1124	47414	36878
1125	47449	36830
1126	47484	36782
1127	47519	36735
1128	47550	36683
1129	47585	36636
1130	47621	36589
1131	47656	36542
1132	47691	36494
1133	47727	36447
1134	47760	36398
1135	47796	36352
1136	47831	36304
1137	47867	36258
1138	47895	36205
1139	47929	36157
1140	47964	36110
1141	48001	36063
1142	48032	36013
1143	48065	35965
1144	48100	35918
1145	48131	35867
1146	48166	35820
1147	48201	35773
1148	48236	35726
1149	48273	35680
1150	48308	35633
1151	48342	35585
1152	48370	35533
1153	48406	35486
1154	48441	35440
1155	48477	35393
1156	48511	35345
1157	48545	35298
1158	48583	35253
1159	48618	35206
1160	48649	35156
1161	48685	35110
1162	48719	35062
1163	48752	35014
1164	48788	34968
1165	48823	34921
1166	48859	34876
1167	48895	34829
1168	48931	34783
1169	48965	34735
1170	48995	34686
1171	49028	34637
1172	49064	34592
1173	49097	34544
1174	49131	34496
1175	49163	34447
1176	49196	34399
1177	49229	34352
1178	49265	34305
1179	49299	34259
1180	49335	34213
1181	49368	34165
1182	49404	34119
1183	49437	34071
1184	49472	34025
1185	49503	33976
1186	49539	33930
1187	49576	33885
1188	49610	33838
1189	49645	33792
1190	49681	33746
1191	49718	33701
1192	49754	33656
1193	49787	33608
1194	49821	33561
1195	49856	33515
1196	49894	33471
1197	49928	33424
1198	49962	33377
1199	49996	33331
1200	50028	33282
1201	50061	33235
1202	50095	33188
1203	50127	33140
1204	50158	33092
1205	50192	33045
1206	50227	32999
1207	50261	32952
1208	50294	32905
1209	50325	32857
1210	50359	32810
1211	50392	32763
1212	50426	32717
1213	50454	32666
1214	50493	32623
1215	50527	32577
1216	50562	32531
1217	50597	32485
1218	50632	32439
1219	50667	32394
1220	50702	32348
1221	50736	32302
1222	50771	32256
1223	50807	32211
1224	50841	32165
1225	50878	32120
1226	50915	32076
1227	50949	32030
1228	50979	31981
1229	51012	31934
1230	51047	31889
1231	51082	31843
1232	51118	31798
1233	51152	31752
1234	51155	31687
